"","brewery_id","X","abv","ibu","id","name","style","ounces","brew_name","city","state","city_state"
"1915",385,1842,0.047,NA,814,"Pumpkinhead Ale","Pumpkin Ale",12,"Shipyard Brewing Company","Portland"," ME","Portland  ME"
"1916",385,1843,0.051,NA,727,"Shipyard Export","American Blonde Ale",12,"Shipyard Brewing Company","Portland"," ME","Portland  ME"
"1917",386,1712,0.064,NA,1538,"Stout Ol' Friend","American Stout",16,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1918",386,1713,0.064,NA,1075,"Stout Ol' Friend (2012)","American Stout",16,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1919",386,1714,NA,NA,710,"Rye Porter","American Porter",16,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1920",386,1715,0.05,NA,709,"Miner's Gold","American Blonde Ale",16,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1921",386,1716,0.046,NA,708,"Vienna Lager","Vienna Lager",16,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1922",386,1717,0.056,NA,706,"Jessie's Garage","American Pale Ale (APA)",16,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1923",386,1718,0.062,NA,220,"Colorado Red Ale","American Amber / Red Ale",12,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1924",386,1719,NA,NA,219,"Miner's Gold","American Blonde Ale",12,"Revolution Brewing","Paonia"," CO","Paonia  CO"
"1925",387,1430,0.053,NA,1537,"Undun Blonde Ale","American Blonde Ale",16,"Natian Brewery","Portland"," OR","Portland  OR"
"1926",387,1431,0.074,NA,1536,"CuDa Cascadian Dark Ale","American Black Ale",16,"Natian Brewery","Portland"," OR","Portland  OR"
"1927",387,1432,0.085,86,1265,"Old Grogham Imperial India Pale Ale","American Double / Imperial IPA",16,"Natian Brewery","Portland"," OR","Portland  OR"
"1928",387,1433,0.085,86,747,"Old Grogham Imperial India Pale Ale (2012)","American Double / Imperial IPA",16,"Natian Brewery","Portland"," OR","Portland  OR"
"1929",387,1434,0.074,NA,746,"CuDa Cascadian Dark Ale (2012)","American Black Ale",16,"Natian Brewery","Portland"," OR","Portland  OR"
"1930",387,1435,0.053,NA,654,"Undun Blonde Ale (2012)","American Blonde Ale",16,"Natian Brewery","Portland"," OR","Portland  OR"
"1931",388,91,0.043,NA,1535,"Kentucky Kölsch","Kölsch",16,"Alltech's Lexington Brewing Company","Lexington"," KY","Lexington  KY"
"1932",388,92,0.065,NA,1149,"Kentucky IPA","American IPA",16,"Alltech's Lexington Brewing Company","Lexington"," KY","Lexington  KY"
"1933",389,1597,0.087,85,1533,"G'KNIGHT","American Double / Imperial IPA",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC","Brevard  NC"
"1934",389,1598,0.099,98,1532,"Ten Fidy","Russian Imperial Stout",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC","Brevard  NC"
"1935",389,1599,0.08,85,1328,"Deviant Dale's IPA","American Double / Imperial IPA",16,"Oskar Blues Brewery (North Carol...","Brevard"," NC","Brevard  NC"
"1936",389,1600,0.08,35,1175,"Old Chub","Scottish Ale",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC","Brevard  NC"
"1937",389,1601,0.065,65,1166,"Dale's Pale Ale","American Pale Ale (APA)",19.2,"Oskar Blues Brewery (North Carol...","Brevard"," NC","Brevard  NC"
"1938",389,1602,0.065,65,1065,"Dale's Pale Ale","American Pale Ale (APA)",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC","Brevard  NC"
"1939",390,1544,0.053,NA,1530,"Clem's Gold","American Pale Lager",16,"Orlison Brewing Company","Airway Heights"," WA","Airway Heights  WA"
"1940",390,1545,0.055,NA,1529,"Lizzy's Red","American Amber / Red Lager",16,"Orlison Brewing Company","Airway Heights"," WA","Airway Heights  WA"
"1941",390,1546,0.067,NA,1528,"Orlison India Pale Lager","American Pale Lager",16,"Orlison Brewing Company","Airway Heights"," WA","Airway Heights  WA"
"1942",390,1547,0.042,NA,1527,"Brünette","Euro Dark Lager",16,"Orlison Brewing Company","Airway Heights"," WA","Airway Heights  WA"
"1943",390,1548,0.041,NA,1526,"Havanüther","Light Lager",16,"Orlison Brewing Company","Airway Heights"," WA","Airway Heights  WA"
"1944",391,378,0.042,9,1522,"Agave Wheat","American Pale Wheat Ale",12,"Breckenridge Brewery","Denver"," CO","Denver  CO"
"1945",391,379,0.045,15,397,"SummerBright Ale","American Pale Wheat Ale",12,"Breckenridge Brewery","Denver"," CO","Denver  CO"
"1946",391,380,0.062,68,193,"Lucky U IPA","American IPA",12,"Breckenridge Brewery","Denver"," CO","Denver  CO"
"1947",391,381,0.054,19,83,"Avalanche Ale","American Amber / Red Ale",12,"Breckenridge Brewery","Denver"," CO","Denver  CO"
"1948",392,1810,0.055,30,1519,"Saison 88","Saison / Farmhouse Ale",12,"Santa Fe Brewing Company","Santa Fe"," NM","Santa Fe  NM"
"1949",392,1811,0.071,95,967,"Black IPA","American Black Ale",12,"Santa Fe Brewing Company","Santa Fe"," NM","Santa Fe  NM"
